Pos,ID,Name,BV,SV,Team,10_xMins,11_xMins,12_xMins,13_xMins,14_xMins,15_xMins,16_xMins,17_xMins,18_xMins,19_xMins,10_Pts,11_Pts,12_Pts,13_Pts,14_Pts,15_Pts,16_Pts,17_Pts,18_Pts,19_Pts
M,210,Tchaouna,4.9,4.9,Burnley,24.75,24.75,24.75,24.75,24.75,24.75,24.75,24.75,24.75,24.75,0.90,1.12,1.06,1.04,1.10,0.97,1.11,1.03,1.12,1.05
M,213,Banel,4.5,4.5,Burnley,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,214,Trésor,4.4,4.4,Burnley,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
F,215,Flemming,5.3,5.3,Burnley,34.50,34.50,34.50,34.50,34.50,34.50,34.50,64.80,64.80,64.80,1.32,1.64,1.63,1.56,1.64,1.43,1.68,2.74,3.09,2.88
F,216,Amdouni,4.8,4.8,Burnley,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
F,217,Foster,5.0,5.0,Burnley,59.10,59.10,59.10,59.10,59.10,59.10,59.10,0.00,0.00,0.00,2.15,2.64,2.54,2.53,2.66,2.26,2.67,0.00,0.00,0.00
F,218,Barnes,4.3,4.3,Burnley,2.85,2.85,2.85,2.85,2.85,2.85,2.85,2.85,2.85,2.85,0.11,0.13,0.13,0.13,0.13,0.12,0.14,0.13,0.14,0.13
G,220,Sánchez,4.8,4.8,Chelsea,89.10,89.10,89.10,89.10,89.10,89.10,89.10,89.10,89.10,89.10,3.03,3.85,3.68,2.71,3.19,3.09,3.64,2.68,3.49,3.49
G,221,Jörgensen,4.4,4.4,Chelsea,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.03,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.03
G,223,Slonina,3.9,3.9,Chelsea,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
