Pos,ID,Name,BV,SV,Team,14_xMins,15_xMins,16_xMins,17_xMins,18_xMins,19_xMins,20_xMins,21_xMins,22_xMins,23_xMins,14_Pts,15_Pts,16_Pts,17_Pts,18_Pts,19_Pts,20_Pts,21_Pts,22_Pts,23_Pts
G,1,Raya,5.9,5.9,Arsenal,89.10,89.10,89.10,89.10,89.10,89.10,89.10,89.10,89.10,89.10,4.20,3.66,4.52,3.98,4.01,4.07,3.82,3.64,4.18,3.80
G,2,Arrizabalaga,4.2,4.2,Arsenal,1.20,1.20,1.20,1.20,1.20,1.20,1.20,1.20,1.20,1.20,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.05,0.05
G,4,Setford,3.9,3.9,Arsenal,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,5,Gabriel,6.3,6.3,Arsenal,0.00,0.00,0.00,84.45,84.45,84.45,84.45,84.45,84.45,84.45,0.00,0.00,0.00,4.91,4.72,4.98,4.69,4.33,4.82,4.72
D,6,Saliba,6.0,6.0,Arsenal,9.60,45.30,87.45,84.45,84.45,84.45,84.45,84.45,84.45,84.45,0.49,2.10,4.92,4.23,4.12,4.29,3.98,3.61,4.22,3.98
D,7,Calafiori,5.8,5.8,Arsenal,75.45,75.45,76.80,74.70,74.70,74.70,74.70,74.70,74.70,74.70,4.41,3.68,4.87,4.07,4.17,4.25,3.88,3.65,4.13,4.04
D,8,J.Timber,6.4,6.4,Arsenal,82.50,82.50,82.50,82.50,82.50,82.50,82.50,82.50,82.50,82.50,4.50,3.74,4.90,4.05,4.16,4.30,3.87,3.60,4.18,4.04
D,10,Lewis-Skelly,5.1,5.1,Arsenal,34.65,27.75,24.60,14.85,14.85,14.85,14.85,14.85,14.85,14.85,1.61,1.09,1.08,0.57,0.59,0.59,0.57,0.55,0.59,0.58
D,11,White,5.3,5.3,Arsenal,8.55,8.55,8.55,8.55,8.55,8.55,8.55,8.55,8.55,8.55,0.44,0.40,0.48,0.42,0.42,0.43,0.41,0.39,0.43,0.42
D,12,Zinchenko,4.9,4.9,Nott'm Forest,12.75,28.35,28.35,28.35,28.35,28.35,28.35,28.35,28.35,24.90,0.60,1.17,1.24,1.13,0.93,1.29,1.11,1.25,1.03,1.00
D,13,Clarke,3.8,3.8,Arsenal,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,15,Nichols,3.8,3.8,Arsenal,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,16,Saka,10.1,10.1,Arsenal,84.15,79.05,79.05,79.05,79.05,79.05,79.05,79.05,79.05,79.05,6.18,4.98,6.51,5.03,5.55,5.57,5.05,5.20,5.20,5.71
M,17,Ødegaard,7.8,7.8,Arsenal,45.45,70.20,70.20,70.20,70.20,70.20,70.20,70.20,70.20,70.20,2.62,3.43,4.32,3.49,3.83,3.80,3.52,3.56,3.62,3.85
M,18,Madueke,6.8,6.8,Arsenal,33.90,21.00,21.00,21.00,21.00,21.00,21.00,21.00,21.00,21.00,1.98,1.09,1.35,1.08,1.19,1.18,1.10,1.12,1.13,1.19
M,19,Martinelli,6.8,6.8,Arsenal,8.25,12.15,12.15,12.15,12.15,12.15,12.15,12.15,12.15,12.15,0.52,0.66,0.83,0.66,0.74,0.74,0.69,0.70,0.69,0.75
