Pos,ID,Name,BV,SV,Team,21_xMins,22_xMins,23_xMins,24_xMins,25_xMins,26_xMins,27_xMins,28_xMins,29_xMins,30_xMins,21_Pts,22_Pts,23_Pts,24_Pts,25_Pts,26_Pts,27_Pts,28_Pts,29_Pts,30_Pts
G,1,Raya,6.0,6.0,Arsenal,89.10,89.10,89.10,89.10,89.10,178.20,89.10,89.10,89.10,89.10,3.80,3.97,3.96,4.14,4.44,8.27,3.82,3.64,3.84,4.46
G,2,Arrizabalaga,4.1,4.1,Arsenal,1.20,1.20,1.20,1.20,1.20,2.40,1.20,1.20,1.20,1.20,0.05,0.05,0.05,0.05,0.05,0.10,0.05,0.05,0.05,0.05
G,4,Setford,3.9,3.9,Arsenal,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,5,Gabriel,6.6,6.6,Arsenal,84.45,84.45,84.45,84.45,84.45,168.90,84.45,84.45,84.45,84.45,5.26,5.23,5.43,5.65,5.95,11.47,5.18,4.81,4.95,6.03
D,6,Saliba,5.9,5.9,Arsenal,84.45,84.45,84.45,84.45,84.45,168.90,84.45,84.45,84.45,84.45,4.06,4.15,4.32,4.56,4.97,9.12,4.20,3.93,3.99,4.99
D,7,Calafiori,5.6,5.6,Arsenal,0.00,76.05,76.05,76.05,76.05,152.10,76.05,76.05,76.05,76.05,0.00,4.31,4.58,4.64,5.14,9.58,4.37,4.10,4.22,5.16
D,8,J.Timber,6.3,6.3,Arsenal,82.50,82.50,82.50,82.50,82.50,165.00,82.50,82.50,82.50,82.50,4.35,4.42,4.75,4.75,5.24,9.85,4.46,4.24,4.24,5.26
D,10,Lewis-Skelly,5.1,5.1,Arsenal,25.80,13.80,13.80,13.80,13.80,27.60,13.80,13.80,13.80,13.80,1.12,0.52,0.54,0.53,0.56,1.09,0.52,0.52,0.51,0.56
D,11,White,5.1,5.1,Arsenal,8.55,8.55,8.55,8.55,8.55,17.10,8.55,8.55,8.55,8.55,0.45,0.45,0.47,0.47,0.51,0.95,0.45,0.43,0.44,0.51
D,12,Zinchenko,4.9,4.9,Nott'm Forest,25.50,0.00,25.50,25.50,25.50,25.50,25.50,25.50,25.50,25.50,1.15,0.00,1.14,1.20,1.14,1.34,1.01,1.02,0.78,1.21
D,13,Clarke,3.8,3.8,Arsenal,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,15,Nichols,3.8,3.8,Arsenal,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,16,Saka,10.2,10.2,Arsenal,79.05,79.05,79.05,79.05,79.05,158.10,79.05,79.05,79.05,79.05,5.51,5.36,6.21,5.43,6.27,11.89,5.48,5.73,5.39,6.09
M,17,Ødegaard,7.8,7.8,Arsenal,73.80,73.80,73.80,73.80,73.80,147.60,73.80,73.80,73.80,73.80,3.90,3.91,4.30,3.86,4.35,8.34,3.96,4.00,3.95,4.29
M,18,Madueke,6.8,6.8,Arsenal,22.95,22.95,22.95,22.95,22.95,45.90,22.95,22.95,22.95,22.95,1.27,1.23,1.37,1.25,1.40,2.68,1.25,1.29,1.25,1.37
M,19,Martinelli,6.8,6.8,Arsenal,12.15,12.15,12.15,12.15,12.15,24.30,12.15,12.15,12.15,12.15,0.74,0.73,0.81,0.73,0.83,1.57,0.73,0.77,0.73,0.80
M,20,Trossard,7.0,7.0,Arsenal,40.50,40.50,40.50,40.50,40.50,81.00,40.50,40.50,40.50,40.50,2.23,2.21,2.47,2.24,2.54,4.78,2.21,2.32,2.23,2.47
M,21,Rice,7.2,7.2,Arsenal,79.50,79.50,79.50,79.50,79.50,159.00,79.50,79.50,79.50,79.50,4.54,4.63,4.90,4.39,4.81,9.40,4.63,4.68,4.66,4.99
M,22,Merino,5.7,5.7,Arsenal,27.60,27.60,27.60,27.60,27.60,55.20,27.60,27.60,27.60,27.60,1.51,1.50,1.67,1.50,1.67,3.20,1.53,1.58,1.55,1.66
M,24,Nørgaard,5.1,5.1,Arsenal,6.30,6.30,6.30,6.30,6.30,12.60,6.30,6.30,6.30,6.30,0.25,0.25,0.26,0.25,0.26,0.51,0.25,0.26,0.25,0.26
M,25,Nwaneri,5.0,5.0,Arsenal,10.05,10.05,10.05,10.05,10.05,20.10,10.05,10.05,10.05,10.05,0.52,0.51,0.56,0.51,0.56,1.08,0.52,0.53,0.52,0.55
M,26,Zubimendi,5.2,5.2,Arsenal,81.75,81.75,81.75,81.75,81.75,163.50,81.75,81.75,81.75,81.75,3.12,3.19,3.31,3.03,3.28,6.46,3.18,3.18,3.17,3.34
M,27,Nelson,4.8,4.8,Brentford,26.25,26.25,3.45,3.45,3.45,3.45,3.45,3.45,3.45,3.45,1.52,1.25,0.18,0.16,0.17,0.15,0.19,0.19,0.18,0.21
F,30,Havertz,7.3,7.3,Arsenal,17.85,17.85,17.85,17.85,17.85,35.70,17.85,17.85,17.85,17.85,1.02,1.02,1.14,1.03,1.19,2.24,1.04,1.10,1.05,1.14
F,31,G.Jesus,6.4,6.4,Arsenal,7.95,7.95,7.95,7.95,7.95,15.90,7.95,7.95,7.95,7.95,0.49,0.49,0.55,0.49,0.56,1.06,0.49,0.52,0.50,0.53
G,32,Martinez,5.0,5.0,Aston Villa,89.10,89.10,89.10,89.10,89.10,89.10,89.10,89.10,89.10,89.10,3.68,3.74,2.93,3.69,3.24,3.40,3.72,3.62,2.88,3.06
G,33,M.Bizot,4.2,4.2,Aston Villa,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.03,0.03,0.03,0.03,0.03,0.03,0.04,0.03,0.03,0.03
D,36,Cash,4.8,4.8,Aston Villa,84.00,84.00,84.00,84.00,84.00,84.00,84.00,84.00,84.00,84.00,3.61,4.14,3.01,4.10,3.38,3.74,4.33,4.06,3.09,3.09
D,37,Digne,4.5,4.5,Aston Villa,25.80,25.80,25.80,25.80,25.80,25.80,25.80,25.80,25.80,25.80,1.16,1.28,1.05,1.30,1.12,1.24,1.30,1.29,1.11,1.08
D,38,Konsa,4.4,4.4,Aston Villa,85.20,84.75,84.75,84.75,84.75,84.75,84.75,84.75,84.75,84.75,3.51,4.03,2.84,3.94,3.14,3.50,3.96,3.81,2.87,2.94
D,39,Maatsen,4.2,4.2,Aston Villa,76.80,76.80,76.80,76.80,76.80,76.80,76.80,76.80,76.80,76.80,3.78,4.18,3.15,4.12,3.45,3.78,4.23,4.16,3.24,3.25
D,40,Mings,4.3,4.3,Aston Villa,5.10,13.65,13.65,13.65,13.65,13.65,13.65,13.65,13.65,13.65,0.24,0.64,0.53,0.64,0.55,0.59,0.64,0.62,0.52,0.53
D,41,Pau,4.3,4.3,Aston Villa,5.40,76.65,76.65,76.65,76.65,76.65,76.65,76.65,76.65,76.65,0.25,3.76,2.76,3.73,3.08,3.24,3.76,3.59,2.75,2.83
D,42,A.García,3.9,3.9,Aston Villa,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,44,Bogarde,4.0,4.0,Aston Villa,51.60,45.45,9.30,9.30,9.30,9.30,9.30,9.30,9.30,9.30,2.21,2.19,0.32,0.35,0.33,0.34,0.34,0.35,0.32,0.32
D,45,Sousa,3.9,3.9,Aston Villa,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
M,47,Rogers,7.6,7.6,Aston Villa,85.35,85.35,85.35,85.35,85.35,85.35,85.35,85.35,85.35,85.35,4.06,4.39,3.73,4.41,4.04,4.46,4.45,4.58,4.04,3.91
M,48,Tielemans,5.9,5.9,Aston Villa,84.00,84.00,84.00,84.00,84.00,84.00,84.00,84.00,84.00,84.00,3.89,4.25,3.78,4.17,4.06,4.21,4.17,4.23,3.94,3.99
