Pos,ID,Name,BV,SV,Team,9_xMins,10_xMins,11_xMins,12_xMins,13_xMins,14_xMins,15_xMins,16_xMins,17_xMins,18_xMins,9_Pts,10_Pts,11_Pts,12_Pts,13_Pts,14_Pts,15_Pts,16_Pts,17_Pts,18_Pts
G,1,Raya,5.7,5.7,Arsenal,89.10,89.10,89.10,89.10,89.10,89.10,89.10,89.10,89.10,89.10,4.04,4.37,4.40,4.04,3.86,4.43,3.97,4.55,4.21,3.92
G,2,Arrizabalaga,4.3,4.3,Arsenal,1.20,1.20,1.20,1.20,1.20,1.20,1.20,1.20,1.20,1.20,0.05,0.05,0.05,0.05,0.04,0.05,0.05,0.05,0.05,0.05
G,4,Setford,4.0,4.0,Arsenal,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,5,Gabriel,6.4,6.4,Arsenal,84.45,84.45,84.45,84.45,84.45,84.45,84.45,84.45,84.45,84.45,5.13,5.21,5.05,5.12,4.37,4.79,4.48,5.82,4.75,4.63
D,6,Saliba,6.0,6.0,Arsenal,84.45,84.45,84.45,84.45,84.45,84.45,84.45,84.45,84.45,84.45,4.51,4.69,4.55,4.63,3.87,4.43,4.03,5.19,4.29,4.13
D,7,Calafiori,5.8,5.8,Arsenal,71.85,71.85,71.85,71.85,71.85,71.85,71.85,71.85,71.85,71.85,4.22,4.59,4.36,4.18,3.47,4.52,3.82,4.80,3.95,4.07
D,8,J.Timber,6.0,6.0,Arsenal,80.40,80.40,80.40,80.40,80.40,80.40,80.40,80.40,80.40,80.40,4.21,4.66,4.40,4.26,3.66,4.60,3.89,4.87,4.07,4.09
D,10,Lewis-Skelly,5.2,5.2,Arsenal,24.60,24.60,24.60,24.60,24.60,24.60,24.60,24.60,24.60,24.60,1.07,1.13,1.08,1.07,0.94,1.12,1.00,1.16,1.01,1.05
D,11,White,5.4,5.4,Arsenal,13.50,13.50,13.50,13.50,13.50,13.50,13.50,13.50,13.50,13.50,0.68,0.73,0.70,0.68,0.63,0.72,0.65,0.75,0.66,0.67
D,12,Zinchenko,4.9,4.9,Nott'm Forest,72.15,72.15,72.15,72.15,72.15,72.15,72.15,72.15,72.15,72.15,2.40,2.62,3.34,1.96,2.82,3.29,2.89,3.07,2.83,2.28
D,13,Clarke,3.9,3.9,Arsenal,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,15,Nichols,3.9,3.9,Arsenal,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,16,Saka,10.0,10.0,Arsenal,82.65,82.65,82.65,79.05,79.05,79.05,79.05,79.05,79.05,79.05,6.13,6.39,5.84,6.05,5.10,6.37,5.19,6.40,5.18,5.89
M,17,Ødegaard,7.9,7.9,Arsenal,0.00,0.00,32.70,77.55,77.55,77.55,77.55,77.55,77.55,77.55,0.00,0.00,1.79,4.36,3.82,4.58,4.02,4.62,3.90,4.24
M,18,Madueke,6.9,6.9,Arsenal,0.00,0.00,0.00,21.00,21.00,21.00,21.00,21.00,21.00,21.00,0.00,0.00,0.00,1.30,1.12,1.35,1.16,1.36,1.14,1.28
M,19,Martinelli,6.9,6.9,Arsenal,12.15,12.15,12.15,12.15,12.15,12.15,12.15,12.15,12.15,12.15,0.79,0.82,0.75,0.79,0.68,0.83,0.70,0.83,0.69,0.78
M,20,Trossard,6.9,6.9,Arsenal,48.60,48.60,48.60,28.65,28.65,28.65,28.65,28.65,28.65,28.65,3.15,3.24,2.99,1.88,1.57,1.96,1.63,2.00,1.61,1.84
M,21,Rice,6.6,6.6,Arsenal,79.50,79.50,78.15,78.15,78.15,78.15,78.15,78.15,78.15,78.15,4.19,4.28,3.86,4.20,3.74,4.22,3.72,4.20,3.86,4.01
M,22,Merino,5.9,5.9,Arsenal,41.10,41.10,34.20,20.40,20.40,20.40,20.40,20.40,20.40,20.40,2.22,2.28,1.78,1.13,0.99,1.15,1.01,1.17,1.01,1.10
M,24,Nørgaard,5.3,5.3,Arsenal,5.70,5.70,5.70,5.70,5.70,5.70,5.70,5.70,5.70,5.70,0.23,0.23,0.22,0.24,0.22,0.24,0.22,0.24,0.22,0.23
M,25,Nwaneri,5.2,5.2,Arsenal,9.45,9.45,9.45,9.45,9.45,9.45,9.45,9.45,9.45,9.45,0.51,0.53,0.49,0.52,0.46,0.54,0.47,0.54,0.46,0.52
M,26,Zubimendi,5.5,5.5,Arsenal,82.50,82.50,82.50,80.25,80.25,80.25,80.25,80.25,80.25,80.25,3.25,3.33,3.23,3.49,3.13,3.46,3.17,3.39,3.13,3.14
M,27,Nelson,4.8,4.8,Brentford,3.45,3.45,3.45,3.45,3.45,0.00,3.45,3.45,29.25,29.25,0.16,0.16,0.16,0.16,0.20,0.00,0.17,0.18,1.41,1.43
F,30,Havertz,7.3,7.3,Arsenal,0.00,11.70,22.95,24.75,24.75,24.75,24.75,24.75,24.75,24.75,0.00,0.77,1.40,1.57,1.35,1.66,1.37,1.65,1.36,1.55
F,31,G.Jesus,6.4,6.4,Arsenal,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
G,32,Martinez,5.0,5.0,Aston Villa,89.10,89.10,89.10,89.10,89.10,89.10,89.10,89.10,89.10,89.10,2.69,2.44,3.40,3.15,3.88,2.74,2.69,3.45,3.22,3.07
G,33,M.Bizot,4.4,4.4,Aston Villa,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.03,0.02,0.03,0.03,0.04,0.03,0.03,0.03,0.03,0.03
D,36,Cash,4.6,4.6,Aston Villa,79.50,79.50,79.50,79.50,79.50,79.50,79.50,79.50,79.50,79.50,2.51,2.15,3.43,3.40,4.03,2.69,2.63,3.40,3.09,2.59
D,37,Digne,4.5,4.5,Aston Villa,74.25,74.25,74.25,74.25,74.25,74.25,74.25,74.25,74.25,74.25,2.44,2.15,3.35,3.24,4.05,2.62,2.56,3.47,3.05,2.45
D,38,Konsa,4.5,4.5,Aston Villa,83.85,83.85,83.85,83.85,83.85,83.85,83.85,83.85,83.85,83.85,2.33,2.13,3.29,3.17,4.05,2.69,2.62,3.30,2.91,2.41
D,39,Maatsen,4.3,4.3,Aston Villa,18.00,18.00,18.00,18.00,18.00,18.00,18.00,18.00,18.00,18.00,0.65,0.63,0.79,0.75,0.86,0.68,0.66,0.78,0.73,0.66
D,40,Mings,4.5,4.5,Aston Villa,21.45,68.70,68.70,68.70,68.70,68.70,68.70,68.70,68.70,68.70,0.77,2.15,3.12,3.03,3.76,2.56,2.55,3.05,2.66,2.31
D,41,Pau,4.3,4.3,Aston Villa,69.00,22.65,22.65,22.65,22.65,22.65,22.65,22.65,22.65,22.65,2.18,0.75,0.98,0.94,1.11,0.85,0.84,0.95,0.87,0.79
D,42,A.García,3.9,3.9,Aston Villa,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,44,Bogarde,4.0,4.0,Aston Villa,25.50,25.50,25.50,22.05,22.05,22.05,22.05,22.05,22.05,22.05,0.83,0.79,1.03,0.85,0.98,0.77,0.76,0.85,0.80,0.72
D,45,Sousa,4.0,4.0,Aston Villa,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
M,47,Rogers,6.8,6.8,Aston Villa,84.75,84.75,84.75,84.75,84.75,84.75,84.75,84.75,84.75,84.75,3.41,3.20,3.98,3.58,4.29,3.48,3.04,3.95,3.72,3.22
M,48,Tielemans,5.9,5.9,Aston Villa,0.00,0.00,0.00,81.90,81.90,81.90,81.90,81.90,81.90,81.90,0.00,0.00,0.00,3.61,4.17,3.32,3.41,3.71,3.54,3.20
M,50,Buendía,5.3,5.3,Aston Villa,37.80,37.80,37.80,34.50,34.50,34.50,34.50,34.50,47.70,47.70,1.63,1.54,1.82,1.56,1.82,1.52,1.38,1.65,2.25,1.97
M,52,J.Ramsey,5.3,5.3,Newcastle,16.50,16.50,16.50,16.50,16.50,16.50,16.50,16.50,16.50,16.50,0.84,0.84,0.79,0.75,0.75,0.83,0.90,0.80,0.80,0.75
M,53,Malen,5.1,5.1,Aston Villa,50.40,50.40,50.40,40.50,40.50,40.50,40.50,40.50,48.00,42.60,2.51,2.30,2.88,2.14,2.52,2.07,1.84,2.32,2.65,2.10
M,54,McGinn,5.4,5.4,Aston Villa,73.20,73.20,73.20,73.20,73.20,73.20,73.20,73.20,61.95,73.20,2.62,2.49,2.99,2.79,3.23,2.66,2.52,2.93,2.43,2.58
M,55,Barkley,4.8,4.8,Aston Villa,16.95,16.95,16.95,16.95,16.95,16.95,16.95,16.95,16.95,16.95,0.72,0.69,0.80,0.74,0.83,0.73,0.67,0.80,0.77,0.70
M,58,Kamara,4.9,4.9,Aston Villa,75.75,75.75,75.75,64.95,64.95,64.95,64.95,64.95,64.95,64.95,2.58,2.65,2.79,2.41,2.62,2.20,2.44,2.36,2.20,2.09
M,59,Onana,4.8,4.8,Aston Villa,67.20,67.20,67.20,27.60,27.60,27.60,27.60,27.60,27.60,27.60,2.55,2.56,2.81,1.11,1.23,1.05,1.08,1.12,1.07,1.01
M,60,Broggio,4.5,4.5,Aston Villa,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.01
M,62,Jimoh-Aloba,4.5,4.5,Aston Villa,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
M,63,Young,4.4,4.4,Aston Villa,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.30,0.01,0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.01
F,64,Watkins,8.6,8.6,Aston Villa,74.40,74.40,74.40,74.40,74.40,74.40,74.40,74.40,74.40,74.40,3.79,3.39,4.24,3.84,4.64,3.75,3.28,4.21,4.12,3.54
G,67,Petrović,4.5,4.5,Bournemouth,89.10,89.10,89.10,89.10,89.10,89.10,89.10,89.10,89.10,89.10,3.79,2.45,3.23,3.85,3.82,3.87,3.58,3.02,4.07,3.64
G,68,Dennis,4.0,4.0,Bournemouth,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.04,0.02,0.03,0.04,0.04,0.04,0.03,0.03,0.04,0.03
G,69,McKenna,4.0,4.0,Bournemouth,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,72,Senesi,5.0,5.0,Bournemouth,85.95,85.95,85.95,85.95,85.95,85.95,85.95,85.95,85.95,85.95,4.57,3.04,3.97,4.80,4.57,4.55,3.74,3.60,4.60,3.68
D,73,Smith,4.4,4.4,Bournemouth,14.85,14.85,14.85,14.85,14.85,14.85,14.85,14.85,14.85,14.85,0.55,0.42,0.50,0.56,0.53,0.54,0.50,0.47,0.57,0.51
D,74,Truffert,4.5,4.5,Bournemouth,84.75,84.75,84.75,84.75,84.75,84.75,84.75,84.75,84.75,84.75,4.36,2.32,3.31,4.57,3.99,4.10,3.33,2.82,4.64,3.52
D,75,Akinmboni,3.9,3.9,Bournemouth,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,76,Bevan,3.9,3.9,Bournemouth,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
D,77,Hill,4.0,4.0,Bournemouth,35.10,35.10,35.10,35.10,35.10,35.10,35.10,35.10,35.10,35.10,1.74,1.26,1.63,1.77,1.63,1.70,1.53,1.33,1.83,1.55
D,78,J.Araujo,3.9,3.9,Bournemouth,7.20,7.20,7.20,7.20,7.20,7.20,7.20,7.20,7.20,7.20,0.28,0.23,0.25,0.28,0.27,0.27,0.26,0.24,0.29,0.26
D,80,Soler,4.0,4.0,Bournemouth,7.65,7.65,7.65,7.65,7.65,7.65,7.65,7.65,7.65,7.65,0.35,0.26,0.30,0.36,0.34,0.34,0.31,0.28,0.37,0.31
M,81,Kluivert,7.0,7.0,Bournemouth,65.40,52.80,52.80,52.80,52.80,52.80,52.80,52.80,50.70,50.70,4.22,2.37,2.68,3.50,3.05,3.04,2.94,2.70,3.41,2.85
M,82,Semenyo,8.1,8.1,Bournemouth,86.10,86.10,86.10,86.10,86.10,86.10,86.10,86.10,86.10,86.10,5.27,3.60,4.20,5.39,4.75,4.64,4.60,4.20,5.36,4.55
M,83,O.Dango,6.0,6.0,Brentford,50.70,50.70,50.70,50.70,50.70,68.40,50.70,50.70,0.00,0.00,2.55,2.48,2.56,2.52,3.12,2.66,2.61,2.90,0.00,0.00
M,84,Tavernier,5.5,5.5,Bournemouth,70.65,61.20,61.20,61.20,61.20,61.20,61.20,61.20,76.50,76.50,3.88,2.47,2.80,3.34,3.15,2.99,3.05,2.84,4.12,3.63
M,85,Adams,5.0,5.0,Bournemouth,80.55,80.55,80.55,80.55,80.55,80.55,80.55,80.55,80.55,80.55,3.54,2.60,3.37,3.82,3.33,3.23,3.17,3.05,2.96,3.06
M,86,Brooks,5.0,5.0,Bournemouth,0.00,48.45,48.45,48.45,48.45,48.45,48.45,48.45,68.10,68.10,0.00,1.85,2.06,2.53,2.28,2.25,2.17,2.03,3.61,3.08
M,87,Christie,5.0,5.0,Bournemouth,28.05,28.05,28.05,28.05,28.05,28.05,28.05,28.05,28.05,28.05,1.50,1.09,1.35,1.57,1.38,1.34,1.31,1.25,1.35,1.31
M,88,Cook,4.9,4.9,Bournemouth,13.35,13.35,13.35,13.35,13.35,13.35,13.35,13.35,13.35,13.35,0.57,0.47,0.52,0.60,0.54,0.53,0.52,0.51,0.55,0.52
M,90,Scott,5.0,5.0,Bournemouth,62.70,62.70,62.70,62.70,62.70,62.70,62.70,62.70,62.70,62.70,2.87,2.11,2.62,3.06,2.68,2.61,2.54,2.41,2.70,2.49
F,97,Evanilson,7.0,7.0,Bournemouth,36.15,69.00,80.70,80.70,80.70,80.70,80.70,80.70,80.70,80.70,2.21,2.85,3.71,4.65,4.03,4.09,3.90,3.69,4.59,3.90
